[WARNING] | 12:14:30 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 12:15:39 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 12:16:34 01-Apr-22 | main.py:431 | Time to run: 54.90365433692932
[WARNING] | 12:17:48 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 12:18:48 01-Apr-22 | main.py:431 | Time to run: 60.234713554382324
[WARNING] | 12:54:41 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 12:55:42 01-Apr-22 | main.py:431 | Time to run: 61.19405651092529
[WARNING] | 13:23:46 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 13:24:40 01-Apr-22 | main.py:431 | Time to run: 54.228434801101685
[WARNING] | 13:24:52 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 13:25:27 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 13:26:49 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 13:28:10 01-Apr-22 | main.py:431 | Time to run: 80.32234001159668
[WARNING] | 13:33:50 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 13:38:43 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 13:40:11 01-Apr-22 | main.py:431 | Time to run: 87.5705795288086
[WARNING] | 14:29:15 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:29:21 01-Apr-22 | main_retrain.py:419 | Time to run: 6.353748559951782
[WARNING] | 14:29:21 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:29:27 01-Apr-22 | main_retrain.py:419 | Time to run: 5.651719331741333
[WARNING] | 14:29:27 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:29:32 01-Apr-22 | main_retrain.py:419 | Time to run: 5.549028635025024
[WARNING] | 14:29:32 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:29:38 01-Apr-22 | main_retrain.py:419 | Time to run: 5.595566511154175
[WARNING] | 14:29:38 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:29:44 01-Apr-22 | main_retrain.py:419 | Time to run: 5.696344375610352
[WARNING] | 14:29:44 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:29:49 01-Apr-22 | main_retrain.py:419 | Time to run: 5.662744998931885
[WARNING] | 14:29:49 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:29:55 01-Apr-22 | main_retrain.py:419 | Time to run: 5.6141438484191895
[WARNING] | 14:29:55 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:30:29 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:30:36 01-Apr-22 | main_retrain.py:419 | Time to run: 6.348487615585327
[WARNING] | 14:30:36 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:30:41 01-Apr-22 | main_retrain.py:419 | Time to run: 5.913586378097534
[WARNING] | 14:30:41 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:30:47 01-Apr-22 | main_retrain.py:419 | Time to run: 5.6750640869140625
[WARNING] | 14:30:47 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:30:53 01-Apr-22 | main_retrain.py:419 | Time to run: 5.818119764328003
[WARNING] | 14:30:53 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:30:59 01-Apr-22 | main_retrain.py:419 | Time to run: 5.870790004730225
[WARNING] | 14:30:59 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:31:05 01-Apr-22 | main_retrain.py:419 | Time to run: 5.819110631942749
[WARNING] | 14:31:05 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:31:10 01-Apr-22 | main_retrain.py:419 | Time to run: 5.67847752571106
[WARNING] | 14:31:10 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:31:16 01-Apr-22 | main_retrain.py:419 | Time to run: 5.828777074813843
[WARNING] | 14:31:16 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:31:22 01-Apr-22 | main_retrain.py:419 | Time to run: 5.686925649642944
[WARNING] | 14:31:22 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:31:28 01-Apr-22 | main_retrain.py:419 | Time to run: 5.787262678146362
[WARNING] | 14:33:09 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:33:16 01-Apr-22 | main_retrain.py:420 | Time to run: 6.452509880065918
[WARNING] | 14:33:16 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:33:21 01-Apr-22 | main_retrain.py:420 | Time to run: 5.587428569793701
[WARNING] | 14:33:21 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 14:33:27 01-Apr-22 | main_retrain.py:420 | Time to run: 5.487898111343384
[WARNING] | 14:33:27 01-Apr-22 | main_retrain.py:48 | START PROGRAM
[WARNING] | 16:50:22 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 16:51:45 01-Apr-22 | main.py:431 | Time to run: 83.63105654716492
[WARNING] | 17:35:40 01-Apr-22 | main.py:47 | START PROGRAM
[WARNING] | 17:37:17 01-Apr-22 | main.py:431 | Time to run: 97.0247004032135
[WARNING] | 18:12:36 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:12:43 01-Apr-22 | main_retrain.py:421 | Time to run: 6.802244663238525
[WARNING] | 18:12:43 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:12:49 01-Apr-22 | main_retrain.py:421 | Time to run: 6.001220226287842
[WARNING] | 18:12:49 01-Apr-22 | main_retrain.py:49 | START PROGRAM
[WARNING] | 18:12:54 01-Apr-22 | main_retrain.py:421 | Time to run: 5.689716339111328
[WARNING] | 18:12:54 01-Apr-22 | main_retrain.py:49 | START PROGRAM
